RK,Name,Team,POS,GP,CMP,ATT,CMP%,YDS,AVG,YDS/G,LNG,TD,INT,SACK,SYL,QBR,RTG
1,Geno SmithSEA,SEA,QB,5,143,199,71.9,"1,466",7.4,293.2,71,5,4,18,112,63.5,92.7
2,Dak PrescottDAL,DAL,QB,5,125,191,65.4,"1,424",7.5,284.8,65,8,4,12,72,56.8,92.9
3,C.J. StroudHOU,HOU,QB,5,122,177,68.9,"1,385",7.8,277,67,7,3,14,108,64.4,98.2
4,Brock PurdySF,ySF,QB,5,103,157,65.6,"1,374",8.8,274.8,53,6,4,12,53,66,95.3
5,Kirk CousinsATL,ATL,QB,5,119,177,67.2,"1,373",7.8,274.6,50,8,5,10,70,55.2,93.7
6,Joe BurrowCIN,CIN,QB,5,125,173,72.3,"1,370",7.9,274,70,12,2,11,55,73.6,113.6
7,Matthew StaffordLAR,LAR,QB,5,118,175,67.4,"1,238",7.1,247.6,63,3,3,16,105,53.8,86.3
8,Patrick MahomesKC,sKC,QB,5,111,160,69.4,"1,235",7.7,247,54,6,6,9,51,55.8,88.9
9,Lamar JacksonBAL,BAL,QB,5,98,150,65.3,"1,206",8,241.2,56,9,1,5,25,67.1,107.3
10,Baker MayfieldTB,dTB,QB,5,110,153,71.9,"1,164",7.6,232.8,41,11,2,16,99,64,112.2
11,Daniel JonesNYG,NYG,QB,5,114,178,64,"1,138",6.4,227.6,41,6,3,12,47,61.3,86.3
12,Jayden DanielsWSH,WSH,QB,5,101,131,77.1,"1,135",8.7,227,66,4,2,12,62,73.2,106.3
13,Sam DarnoldMIN,MIN,QB,5,87,137,63.5,"1,111",8.1,222.2,97,11,4,14,95,58.7,103.4
14,Trevor LawrenceJAX,JAX,QB,5,93,156,59.6,"1,100",7.1,220,85,6,2,12,97,53.2,88.6
15,Aaron RodgersNYJ,NYJ,QB,5,111,182,61,"1,093",6,218.6,36,7,4,13,98,49.1,81.6
16,Caleb WilliamsCHI,CHI,QB,5,107,170,62.9,"1,091",6.4,218.2,47,5,4,17,132,36.3,81.3
17,Jared GoffDET,DET,QB,4,88,124,71,"1,015",8.2,253.8,70,5,4,7,56,44.8,95.3
18,Gardner MinshewLV,wLV,QB,5,99,140,70.7,"1,014",7.2,202.8,57,4,5,15,106,41.1,85.8
19,Derek CarrNO,rNO,QB,5,90,128,70.3,989,7.7,197.8,70,8,4,5,26,63.6,100.7
20,Kyler MurrayARI,ARI,QB,5,94,138,68.1,972,7,194.4,60,7,2,11,64,66.4,99.1
21,Justin FieldsPIT,PIT,QB,5,92,136,67.6,961,7.1,192.2,55,5,1,13,89,48,97.1
22,Josh AllenBUF,BUF,QB,5,79,131,60.3,945,7.2,189,52,8,0,6,42,77.6,102.8
23,Jalen HurtsPHI,PHI,QB,4,90,132,68.2,930,7,232.5,67,4,4,13,83,59.3,85.7
24,Jordan LoveGB,eGB,QB,3,64,114,56.1,873,7.7,291,70,8,5,4,42,46.1,85.9
25,Bo NixDEN,DEN,QB,5,102,165,61.8,866,5.2,173.2,49,3,4,7,47,43.1,71.4
26,Deshaun WatsonCLE,CLE,QB,5,106,176,60.2,852,4.8,170.4,30,5,3,26,154,21,74.8
27,Jacoby BrissettNE,tNE,QB,5,79,135,58.5,696,5.2,139.2,50,2,1,17,108,38.9,74.2
28,Andy DaltonCAR,CAR,QB,4,69,106,65.1,675,6.4,168.8,39,5,2,5,33,67.1,90.7
29,Anthony RichardsonIND,IND,QB,4,39,77,50.6,654,8.5,163.5,60,3,6,4,30,49.3,60.2
30,Will LevisTEN,TEN,QB,4,67,98,68.4,604,6.2,151,40,4,6,15,101,27.3,72.8
31,Justin HerbertLAC,LAC,QB,4,59,91,64.8,578,6.4,144.5,37,5,1,6,30,41.8,96.3
32,Joe FlaccoIND,IND,QB,2,49,70,70,527,7.5,263.5,65,5,0,6,49,72.4,115.6
33,Tua TagovailoaMIA,MIA,QB,2,40,62,64.5,483,7.8,241.5,80,2,3,4,25,27.9,78.9
34,Malik WillisGB,sGB,QB,3,25,34,73.5,324,9.5,108,39,2,0,4,16,90.2,122.7
35,Bryce YoungCAR,CAR,QB,3,35,63,55.6,303,4.8,101,35,0,3,7,43,9.6,48.6
36,Tyler HuntleyMIA,MIA,QB,2,32,53,60.4,290,5.5,145,21,0,1,5,33,23.5,67.3
37,Skylar ThompsonMIA,MIA,QB,2,21,33,63.6,187,5.7,93.5,22,0,0,6,44,3.9,78.7
38,Aidan O'ConnellLV,lLV,QB,2,19,32,59.4,176,5.5,88,21,1,1,2,19,42.6,71.9
39,Mason RudolphTEN,TEN,QB,1,9,17,52.9,85,5,85,27,0,0,1,8,45.7,67
40,Tim BoyleMIA,MIA,QB,1,7,13,53.8,79,6.1,79,30,0,0,1,9,2.4,72.3
40,Davis MillsHOU,HOU,QB,1,7,12,58.3,79,6.6,79,25,0,0,1,7,94,78.1
42,Tyrod TaylorNYJ,NYJ,QB,1,6,8,75,36,4.5,36,9,1,0,0,0,95.7,122.9
43,Taylor HeinickeLAC,LAC,QB,1,2,2,100,24,12,24,18,0,0,3,28,4.9,116.7
43,Nick MullensMIN,MIN,QB,2,1,1,100,24,24,12,24,0,0,0,0,100,118.8
43,Adonai MitchellIND,IND,WR,5,1,1,100,24,24,4.8,24,0,0,0,0,67.2,118.8
46,Mac JonesJAX,JAX,QB,1,5,8,62.5,22,2.8,22,9,0,0,1,17,3.1,66.7
46,Drake MayeNE,eNE,QB,1,4,8,50,22,2.8,22,15,0,0,2,13,18.4,56.3
48,Kyle AllenPIT,PIT,QB,1,1,1,100,19,19,19,19,0,0,0,0,99.4,118.8
49,Jack FoxDET,DET,P,4,1,1,100,17,17,4.3,17,0,0,0,0,,118.8
49,Jake HaenerNO,rNO,QB,3,2,8,25,17,2.1,5.7,11,0,0,0,0,23.2,39.6
